BusNumber,BusName,PnaBus,PssBus,NspBus,VoltageBase,ExModelRetentionFlag,ExternalModelXref,VisibleBus,HighVoltageLimit1,LowVoltageLimit1,HighVoltageLimit2,LowVoltageLimit2,HighVoltageLimit3,LowVoltageLimit3,VoltConstraintSiWeightFactor,VoltConstraintHardnessFactor,CaCaseVoltConstraintHardFactor,VoltConstraintMonitorStatus,VoltConstraintEnforceStatus,VoltLimitMonitorCaCase,VoltLimitEnforceCaCase,VoltChangeHiLimit1,VoltChangeLowLimit1,VoltChangeHiLimit2,VoltChangeLowLimit2,VoltChangeHiLimit3,VoltChangeLowLimit3,VoltChngLimitSevWtCaCase,VoltChngLimitHardness,VoltChngLimitMonitor,VoltChngLimitEnforce,RegionOfInterest,AssetLabel,PseudoBus,ScheduleDataFlag,DmsTransformFlag,LayoutType,StationNumberRef,VoltageLimitAnalogPointRef,LimitNumber,HighDynLimit1,HighDynLimit2,HighDynLimit3,LowDynLimit1,LowDynLimit2,LowDynLimit3,VoltStandardDeviation,VoltCmeUsage,VoltOverrideStatus,VoltReplacementValue,VoltMeasurementSection,NetStatProcKvThresholdLimit,SetOrder1,VoltAnalogPointRef,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef,AngleCmeUsage,AngleMeasurementSection,SetOrder2,AngleAnalogPointRef,StaticBusSplitIndicatorRef,
503,DEVERS 115,Yes,Yes,Yes,115,Retain,NULL,Yes,120.75,109.25,126.5,103.5,126.5,103.5,1,1,1,On,On,On,On,3.45,-3.45,6.9,-6.9,6.9,-6.9,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1!1!1!1,In/Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out,Normal!Normal!Normal!Normal!Normal!Normal!Normal!Normal,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,999!50!3!53!4!56!7!61,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,183!184!185!186!187!188!189!190,7369!229507!7389!7390!7391!7392!7393!7394,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Out,999,1,300186,NULL,
640,SANTIAGO 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1!1!1!1!1!1!1!1!1,Out!Out!Out!Out!Out!Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out,Block!Block!Block!Block!Block!Block!Normal!Normal!Normal!Normal!Normal!Normal!Normal,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,665!605!249!250!601!661!999!997!57!7!12!20!23,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,81!82!83!84!85!86!255!256!257!258!259!260!261,300868!300869!300870!300871!300872!300873!112873!112881!112877!112845!112855!103236!112866,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,Out!Out!Out!Out!Out!Out!Out!Out,999!997!665!605!249!250!661!601,1!2!13!14!15!16!17!18,300098!300089!300968!300969!300970!300971!300972!300973,NULL,
642,BORREGO 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1,Out!Out!Out,Block!Block!Block,NULL!NULL!NULL,90!91!92,NULL!NULL!NULL,1!2!3,300847!300848!300849,NULL!NULL!NULL,NULL!NULL!NULL,NULL!NULL!NULL,NULL!NULL!NULL,Out!Out!Out!Out,999!90!91!92,1!12!13!14,300086!300947!300948!300949,NULL,
643,CHIP 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Out,Block,NULL,110,NULL,1,300850,NULL,NULL,NULL,NULL,Out,110,1,300950,NULL,
647,CROWN 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,443,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1,Out!Out!Out!Out!Out,Block!Block!Block!Block!Block,NULL!NULL!NULL!NULL!NULL,1!650!603!152!112,NULL!NULL!NULL!NULL!NULL,1!2!3!4!5,300639!300640!300641!300642!111387,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,Out!Out!Out!Out,1!650!603!152,2!3!4!5,300739!300740!300741!300742,NULL,
649,IRVINE 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1,Out!Out!Out!Out,Block!Block!Block!Block,NULL!NULL!NULL!NULL,90!91!93!92,NULL!NULL!NULL!NULL,12!13!14!15,300855!300856!300857!300858,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,Out!Out!Out!Out!Out,999!90!91!93!92,1!12!13!14!15,300092!300955!300956!300957!300958,NULL,
651,MACARTHUR 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1,Out!Out!Out!Out,Block!Block!Block!Block,NULL!NULL!NULL!NULL,200!202!201!203,NULL!NULL!NULL!NULL,1!2!3!4,300643!300644!300645!300646,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,Out!Out!Out!Out,200!202!201!203,2!3!4!5,300743!300744!300745!300746,NULL,
652,MORRO 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,Out!Out,Block!Block,NULL!NULL,2!4,NULL!NULL,1!2,300861!300862,NULL!NULL,NULL!NULL,NULL!NULL,NULL!NULL,Out!Out,2!4,1!2,300961!300962,NULL,
653,MOULTON 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1,Out!Out!Out!Out,Block!Block!Block!Block,NULL!NULL!NULL!NULL,401!402!201!202,NULL!NULL!NULL!NULL,12!13!1122!1123,300863!300864!300927!300928,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,Out!Out!Out!Out!Out,999!401!402!201!202,1!12!13!14!15,300085!300963!300964!301027!301028,NULL,
654,NIGUEL 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1,In/Out!Out!Out!Out,Normal!Block!Block!Block,NULL!NULL!NULL!NULL,999!206!200!204,NULL!NULL!NULL!NULL,1!12!13!14,10264!300865!300866!300867,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL,Out!Out!Out,206!200!204,1!2!3,300965!300966!300967,NULL,
656,UNIVERSITY 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Out,Block,NULL,102,NULL,1,300874,NULL,NULL,NULL,NULL,Out,102,1,300974,NULL,
1200,MACARTHUR 12,Yes,Yes,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,.3741,-.3741,.7482,-.7482,.7482,-.7482,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1,In/Out!In/Out!In/Out!In/Out!In/Out,Normal!Normal!Normal!Normal!Normal,NULL!NULL!NULL!NULL!NULL,3!706!999!997!13,NULL!NULL!NULL!NULL!NULL,204!224!226!228!234,223942!223964!223968!223972!223953,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL,NULL,NULL,NULL,NULL,NULL,
1270,LAS LOMAS 66,Yes,Yes,Yes,69,Retain,NULL,Yes,72.45,65.55,75.9,62.1,75.9,62.1,1,1,1,On,On,On,On,2.07,-2.07,4.14,-4.14,4.14,-4.14,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1,Out!Out,Block!Block,NULL!NULL,112!113,NULL!NULL,1!2,300859!300860,NULL!NULL,NULL!NULL,NULL!NULL,NULL!NULL,Out!Out,112!113,1!2,300959!300960,NULL,
1536,SANTIAGO 12,Yes,Yes,Yes,12,Retain,NULL,Yes,13.717,11.223,13.717,11.223,13.717,11.223,1,1,1,Off,Off,Off,Off,.3741,-.3741,.7482,-.7482,.7482,-.7482,1,1,Off,Off,UseStationFlag,NULL,No,Yes,Yes,NULL,442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1!1!1!1!1!1!1!1,In/Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out!In/Out,Normal!Normal!Normal!Normal!Normal!Normal!Normal!Normal,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,3!13!15!999!997!999!998!999,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,1!2!3!4!7!10!11!12,112890!124853!112902!112912!112916!1135!1148!1147,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL!NULL!NULL,NULL,NULL,NULL,NULL,NULL,
